Name,Sex,Age
"Braund, Mr. Owen Harris",male,134.0
"Cumings, Mrs. John Bradley (Florence Briggs Thayer)",female,150.0
"Heikkinen, Miss. Laina",female,138.0
"Futrelle, Mrs. Jacques Heath (Lily May Peel)",female,147.0
"Allen, Mr. William Henry",male,147.0
"Moran, Mr. James",male,
"McCarthy, Mr. Timothy J",male,166.0
"Palsson, Master. Gosta Leonard",male,114.0
"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",female,139.0
"Nasser, Mrs. Nicholas (Adele Achem)",female,126.0
"Sandstrom, Miss. Marguerite Rut",female,116.0
"Bonnell, Miss. Elizabeth",female,170.0
"Saundercock, Mr. William Henry",male,132.0
"Andersson, Mr. Anders Johan",male,151.0
"Vestrom, Miss. Hulda Amanda Adolfina",female,126.0
"Hewlett, Mrs. (Mary D Kingcome) ",female,167.0
"Rice, Master. Eugene",male,114.0
"Williams, Mr. Charles Eugene",male,
"Vander Planke, Mrs. Julius (Emelia Maria Vandemoortele)",female,143.0
"Masselmani, Mrs. Fatima",female,
"Fynney, Mr. Joseph J",male,147.0
"Beesley, Mr. Lawrence",male,146.0
"McGowan, Miss. Anna ""Annie""",female,127.0
"Sloper, Mr. William Thompson",male,140.0
"Palsson, Miss. Torborg Danira",female,120.0
"Asplund, Mrs. Carl Oscar (Selma Augusta Emilia Johansson)",female,150.0
"Emir, Mr. Farred Chehab",male,
"Fortune, Mr. Charles Alexander",male,131.0
"O'Dwyer, Miss. Ellen ""Nellie""",female,
"Todoroff, Mr. Lalio",male,
"Uruchurtu, Don. Manuel E",male,152.0
"Spencer, Mrs. William Augustus (Marie Eugenie)",female,
"Glynn, Miss. Mary Agatha",female,
"Wheadon, Mr. Edward H",male,178.0
"Meyer, Mr. Edgar Joseph",male,140.0
"Holverson, Mr. Alexander Oskar",male,154.0
"Mamee, Mr. Hanna",male,
"Cann, Mr. Ernest Charles",male,133.0
"Vander Planke, Miss. Augusta Maria",female,130.0
"Nicola-Yarred, Miss. Jamila",female,126.0
"Ahlin, Mrs. Johan (Johanna Persdotter Larsson)",female,152.0
"Turpin, Mrs. William John Robert (Dorothy Ann Wonnacott)",female,139.0
"Kraeff, Mr. Theodor",male,
"Laroche, Miss. Simonne Marie Anne Andree",female,115.0
"Devaney, Miss. Margaret Delia",female,131.0
"Rogers, Mr. William John",male,
"Lennon, Mr. Denis",male,
"O'Driscoll, Miss. Bridget",female,
"Samaan, Mr. Youssef",male,
"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",female,130.0
"Panula, Master. Juha Niilo",male,119.0
"Nosworthy, Mr. Richard Cater",male,133.0
"Harper, Mrs. Henry Sleeper (Myna Haxtun)",female,161.0
"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",female,141.0
"Ostby, Mr. Engelhart Cornelius",male,177.0
"Woolner, Mr. Hugh",male,
"Rugg, Miss. Emily",female,133.0
"Novel, Mr. Mansouer",male,140.5
"West, Miss. Constance Mirium",female,117.0
"Goodwin, Master. William Frederick",male,123.0
"Sirayanian, Mr. Orsen",male,134.0
"Icard, Miss. Amelie",female,150.0
"Harris, Mr. Henry Birkhardt",male,157.0
"Skoog, Master. Harald",male,116.0
"Stewart, Mr. Albert A",male,
"Moubarek, Master. Gerios",male,
"Nye, Mrs. (Elizabeth Ramell)",female,141.0
"Crease, Mr. Ernest James",male,131.0
"Andersson, Miss. Erna Alexandra",female,129.0
"Kink, Mr. Vincenz",male,138.0
"Jenkin, Mr. Stephen Curnow",male,144.0
